16/03/18 09:00:08 INFO input.FileInputFormat: Total input paths to process : 1
16/03/18 09:02:31 INFO partition.InputSampler: Using 1000 samples
16/03/18 09:02:31 INFO zlib.ZlibFactory: Successfully loaded & initialized native-zlib library
16/03/18 09:02:31 INFO compress.CodecPool: Got brand-new compressor [.deflate]
16/03/18 09:02:31 INFO client.RMProxy: Connecting to ResourceManager at ec2-52-91-90-244.compute-1.amazonaws.com/172.31.8.8:8032
16/03/18 09:02:32 INFO input.FileInputFormat: Total input paths to process : 1
16/03/18 09:02:32 INFO mapreduce.JobSubmitter: number of splits:7451
16/03/18 09:02:32 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1458275717251_0004
16/03/18 09:02:32 INFO impl.YarnClientImpl: Submitted application application_1458275717251_0004
16/03/18 09:02:32 INFO mapreduce.Job: The url to track the job: http://ec2-52-91-90-244.compute-1.amazonaws.com:8088/proxy/application_1458275717251_0004/
16/03/18 09:02:32 INFO mapreduce.Job: Running job: job_1458275717251_0004
16/03/18 09:02:38 INFO mapreduce.Job: Job job_1458275717251_0004 running in uber mode : false
16/03/18 09:02:38 INFO mapreduce.Job:  map 0% reduce 0%
16/03/18 09:08:49 INFO mapreduce.Job:  map 16% reduce 1%
16/03/18 09:09:11 INFO mapreduce.Job:  map 17% reduce 1%
16/03/18 09:09:37 INFO mapreduce.Job:  map 18% reduce 1%
16/03/18 09:09:54 INFO mapreduce.Job:  map 18% reduce 2%
16/03/18 09:10:01 INFO mapreduce.Job:  map 19% reduce 2%
16/03/18 09:10:25 INFO mapreduce.Job:  map 20% reduce 2%
16/03/18 09:10:53 INFO mapreduce.Job:  map 21% reduce 2%
16/03/18 09:11:16 INFO mapreduce.Job:  map 22% reduce 2%
16/03/18 09:11:41 INFO mapreduce.Job:  map 23% reduce 2%
16/03/18 09:11:57 INFO mapreduce.Job:  map 23% reduce 3%
16/03/18 09:12:07 INFO mapreduce.Job:  map 24% reduce 3%
16/03/18 09:12:32 INFO mapreduce.Job:  map 25% reduce 3%
16/03/18 09:12:59 INFO mapreduce.Job:  map 26% reduce 3%
16/03/18 09:13:25 INFO mapreduce.Job:  map 27% reduce 3%
16/03/18 09:13:34 INFO mapreduce.Job:  map 27% reduce 4%
16/03/18 09:13:51 INFO mapreduce.Job:  map 28% reduce 4%
16/03/18 09:14:15 INFO mapreduce.Job:  map 29% reduce 4%
16/03/18 09:14:42 INFO mapreduce.Job:  map 30% reduce 4%
16/03/18 09:15:03 INFO mapreduce.Job:  map 30% reduce 5%
16/03/18 09:15:09 INFO mapreduce.Job:  map 31% reduce 5%
16/03/18 09:15:36 INFO mapreduce.Job:  map 32% reduce 5%
16/03/18 09:16:02 INFO mapreduce.Job:  map 33% reduce 5%
16/03/18 09:16:30 INFO mapreduce.Job:  map 34% reduce 5%
16/03/18 09:16:31 INFO mapreduce.Job:  map 34% reduce 6%
16/03/18 09:16:58 INFO mapreduce.Job:  map 35% reduce 6%
16/03/18 09:17:24 INFO mapreduce.Job:  map 36% reduce 6%
16/03/18 09:17:32 INFO mapreduce.Job:  map 36% reduce 7%
16/03/18 09:17:52 INFO mapreduce.Job:  map 37% reduce 7%
16/03/18 09:18:21 INFO mapreduce.Job:  map 38% reduce 7%
16/03/18 09:18:42 INFO mapreduce.Job:  map 38% reduce 8%
16/03/18 09:18:49 INFO mapreduce.Job:  map 39% reduce 8%
16/03/18 09:19:18 INFO mapreduce.Job:  map 40% reduce 8%
16/03/18 09:19:41 INFO mapreduce.Job:  map 40% reduce 9%
16/03/18 09:19:48 INFO mapreduce.Job:  map 41% reduce 9%
16/03/18 09:20:16 INFO mapreduce.Job:  map 42% reduce 9%
16/03/18 09:20:43 INFO mapreduce.Job:  map 43% reduce 10%
16/03/18 09:21:15 INFO mapreduce.Job:  map 44% reduce 10%
16/03/18 09:21:46 INFO mapreduce.Job:  map 45% reduce 10%
16/03/18 09:21:54 INFO mapreduce.Job:  map 45% reduce 11%
16/03/18 09:22:16 INFO mapreduce.Job:  map 46% reduce 11%
16/03/18 09:22:44 INFO mapreduce.Job:  map 47% reduce 11%
16/03/18 09:22:45 INFO mapreduce.Job:  map 47% reduce 12%
16/03/18 09:23:13 INFO mapreduce.Job:  map 48% reduce 12%
16/03/18 09:23:44 INFO mapreduce.Job:  map 49% reduce 12%
16/03/18 09:23:50 INFO mapreduce.Job:  map 49% reduce 13%
16/03/18 09:24:17 INFO mapreduce.Job:  map 50% reduce 13%
16/03/18 09:24:46 INFO mapreduce.Job:  map 51% reduce 13%
16/03/18 09:24:54 INFO mapreduce.Job:  map 51% reduce 14%
16/03/18 09:25:15 INFO mapreduce.Job:  map 52% reduce 14%
16/03/18 09:25:45 INFO mapreduce.Job:  map 53% reduce 14%
16/03/18 09:25:51 INFO mapreduce.Job:  map 53% reduce 15%
16/03/18 09:26:14 INFO mapreduce.Job:  map 54% reduce 15%
16/03/18 09:26:42 INFO mapreduce.Job:  map 55% reduce 15%
16/03/18 09:27:05 INFO mapreduce.Job:  map 55% reduce 16%
16/03/18 09:27:10 INFO mapreduce.Job:  map 56% reduce 16%
16/03/18 09:27:39 INFO mapreduce.Job:  map 57% reduce 16%
16/03/18 09:28:08 INFO mapreduce.Job:  map 57% reduce 17%
16/03/18 09:28:09 INFO mapreduce.Job:  map 58% reduce 17%
16/03/18 09:28:40 INFO mapreduce.Job:  map 59% reduce 17%
16/03/18 09:29:07 INFO mapreduce.Job:  map 60% reduce 17%
16/03/18 09:29:17 INFO mapreduce.Job:  map 60% reduce 18%
16/03/18 09:29:37 INFO mapreduce.Job:  map 61% reduce 18%
16/03/18 09:30:03 INFO mapreduce.Job:  map 62% reduce 18%
16/03/18 09:30:24 INFO mapreduce.Job:  map 62% reduce 19%
16/03/18 09:30:33 INFO mapreduce.Job:  map 63% reduce 19%
16/03/18 09:31:02 INFO mapreduce.Job:  map 64% reduce 19%
16/03/18 09:31:32 INFO mapreduce.Job:  map 65% reduce 19%
16/03/18 09:31:39 INFO mapreduce.Job:  map 65% reduce 20%
16/03/18 09:32:02 INFO mapreduce.Job:  map 66% reduce 20%
16/03/18 09:32:31 INFO mapreduce.Job:  map 67% reduce 20%
16/03/18 09:32:53 INFO mapreduce.Job:  map 67% reduce 21%
16/03/18 09:32:57 INFO mapreduce.Job:  map 68% reduce 21%
16/03/18 09:33:25 INFO mapreduce.Job:  map 69% reduce 21%
16/03/18 09:33:56 INFO mapreduce.Job:  map 70% reduce 21%
16/03/18 09:34:03 INFO mapreduce.Job:  map 70% reduce 22%
16/03/18 09:34:24 INFO mapreduce.Job:  map 71% reduce 22%
16/03/18 09:34:53 INFO mapreduce.Job:  map 72% reduce 22%
16/03/18 09:35:20 INFO mapreduce.Job:  map 72% reduce 23%
16/03/18 09:35:22 INFO mapreduce.Job:  map 73% reduce 23%
16/03/18 09:35:49 INFO mapreduce.Job:  map 74% reduce 23%
16/03/18 09:36:18 INFO mapreduce.Job:  map 75% reduce 23%
16/03/18 09:36:34 INFO mapreduce.Job:  map 75% reduce 24%
16/03/18 09:36:47 INFO mapreduce.Job:  map 76% reduce 24%
16/03/18 09:37:14 INFO mapreduce.Job:  map 77% reduce 24%
16/03/18 09:37:42 INFO mapreduce.Job:  map 78% reduce 24%
16/03/18 09:37:49 INFO mapreduce.Job:  map 78% reduce 25%
16/03/18 09:38:11 INFO mapreduce.Job:  map 79% reduce 25%
16/03/18 09:38:40 INFO mapreduce.Job:  map 80% reduce 25%
16/03/18 09:39:08 INFO mapreduce.Job:  map 81% reduce 25%
16/03/18 09:39:15 INFO mapreduce.Job:  map 81% reduce 26%
16/03/18 09:39:35 INFO mapreduce.Job:  map 82% reduce 26%
16/03/18 09:40:03 INFO mapreduce.Job:  map 83% reduce 26%
16/03/18 09:40:21 INFO mapreduce.Job:  map 83% reduce 27%
16/03/18 09:40:31 INFO mapreduce.Job:  map 84% reduce 27%
16/03/18 09:40:58 INFO mapreduce.Job:  map 85% reduce 27%
16/03/18 09:41:30 INFO mapreduce.Job:  map 86% reduce 27%
16/03/18 09:41:45 INFO mapreduce.Job:  map 86% reduce 28%
16/03/18 09:42:01 INFO mapreduce.Job:  map 87% reduce 28%
16/03/18 09:42:34 INFO mapreduce.Job:  map 88% reduce 28%
16/03/18 09:42:58 INFO mapreduce.Job:  map 88% reduce 29%
16/03/18 09:43:05 INFO mapreduce.Job:  map 89% reduce 29%
16/03/18 09:43:37 INFO mapreduce.Job:  map 90% reduce 29%
16/03/18 09:44:19 INFO mapreduce.Job:  map 91% reduce 29%
16/03/18 09:44:48 INFO mapreduce.Job:  map 91% reduce 30%
16/03/18 09:45:04 INFO mapreduce.Job:  map 92% reduce 30%
16/03/18 09:45:47 INFO mapreduce.Job:  map 93% reduce 30%
16/03/18 09:46:29 INFO mapreduce.Job:  map 94% reduce 30%
16/03/18 09:46:30 INFO mapreduce.Job:  map 94% reduce 31%
16/03/18 09:47:16 INFO mapreduce.Job:  map 95% reduce 31%
16/03/18 09:48:10 INFO mapreduce.Job:  map 96% reduce 31%
16/03/18 09:48:39 INFO mapreduce.Job:  map 96% reduce 32%
16/03/18 09:49:11 INFO mapreduce.Job:  map 97% reduce 32%
16/03/18 09:50:15 INFO mapreduce.Job:  map 98% reduce 32%
16/03/18 09:50:48 INFO mapreduce.Job:  map 98% reduce 33%
16/03/18 09:51:17 INFO mapreduce.Job:  map 99% reduce 33%
16/03/18 09:52:31 INFO mapreduce.Job:  map 100% reduce 33%
16/03/18 09:53:18 INFO mapreduce.Job:  map 100% reduce 34%
16/03/18 09:53:30 INFO mapreduce.Job:  map 100% reduce 35%
16/03/18 09:53:43 INFO mapreduce.Job:  map 100% reduce 36%
16/03/18 09:53:57 INFO mapreduce.Job:  map 100% reduce 37%
16/03/18 09:54:10 INFO mapreduce.Job:  map 100% reduce 38%
16/03/18 09:54:22 INFO mapreduce.Job:  map 100% reduce 39%
16/03/18 09:54:35 INFO mapreduce.Job:  map 100% reduce 40%
16/03/18 09:54:47 INFO mapreduce.Job:  map 100% reduce 41%
16/03/18 09:54:56 INFO mapreduce.Job:  map 100% reduce 42%
16/03/18 09:54:57 INFO mapreduce.Job:  map 100% reduce 43%
16/03/18 09:55:09 INFO mapreduce.Job:  map 100% reduce 44%
16/03/18 09:55:20 INFO mapreduce.Job:  map 100% reduce 45%
16/03/18 09:55:32 INFO mapreduce.Job:  map 100% reduce 46%
16/03/18 09:55:44 INFO mapreduce.Job:  map 100% reduce 47%
16/03/18 09:55:58 INFO mapreduce.Job:  map 100% reduce 48%
16/03/18 09:56:10 INFO mapreduce.Job:  map 100% reduce 49%
16/03/18 09:56:24 INFO mapreduce.Job:  map 100% reduce 50%
16/03/18 09:56:37 INFO mapreduce.Job:  map 100% reduce 51%
16/03/18 09:56:49 INFO mapreduce.Job:  map 100% reduce 52%
16/03/18 09:57:03 INFO mapreduce.Job:  map 100% reduce 53%
16/03/18 09:57:17 INFO mapreduce.Job:  map 100% reduce 54%
16/03/18 09:57:32 INFO mapreduce.Job:  map 100% reduce 55%
16/03/18 09:57:47 INFO mapreduce.Job:  map 100% reduce 56%
16/03/18 09:57:54 INFO mapreduce.Job:  map 100% reduce 57%
16/03/18 09:58:00 INFO mapreduce.Job:  map 100% reduce 58%
16/03/18 09:58:06 INFO mapreduce.Job:  map 100% reduce 59%
16/03/18 09:58:14 INFO mapreduce.Job:  map 100% reduce 60%
16/03/18 09:58:30 INFO mapreduce.Job:  map 100% reduce 61%
16/03/18 09:58:47 INFO mapreduce.Job:  map 100% reduce 62%
16/03/18 09:59:04 INFO mapreduce.Job:  map 100% reduce 63%
16/03/18 09:59:23 INFO mapreduce.Job:  map 100% reduce 64%
16/03/18 09:59:24 INFO mapreduce.Job:  map 100% reduce 65%
16/03/18 09:59:42 INFO mapreduce.Job:  map 100% reduce 66%
16/03/18 09:59:47 INFO mapreduce.Job:  map 100% reduce 67%
16/03/18 10:00:03 INFO mapreduce.Job:  map 100% reduce 68%
16/03/18 10:00:27 INFO mapreduce.Job:  map 100% reduce 69%
16/03/18 10:00:49 INFO mapreduce.Job:  map 100% reduce 70%
16/03/18 10:01:12 INFO mapreduce.Job:  map 100% reduce 71%
16/03/18 10:01:35 INFO mapreduce.Job:  map 100% reduce 72%
16/03/18 10:01:59 INFO mapreduce.Job:  map 100% reduce 73%
16/03/18 10:02:23 INFO mapreduce.Job:  map 100% reduce 74%
16/03/18 10:02:41 INFO mapreduce.Job:  map 100% reduce 75%
16/03/18 10:02:46 INFO mapreduce.Job:  map 100% reduce 76%
16/03/18 10:03:12 INFO mapreduce.Job:  map 100% reduce 77%
16/03/18 10:03:41 INFO mapreduce.Job:  map 100% reduce 78%
16/03/18 10:04:09 INFO mapreduce.Job:  map 100% reduce 79%
16/03/18 10:04:39 INFO mapreduce.Job:  map 100% reduce 80%
16/03/18 10:04:40 INFO mapreduce.Job:  map 100% reduce 81%
16/03/18 10:05:12 INFO mapreduce.Job:  map 100% reduce 82%
16/03/18 10:05:44 INFO mapreduce.Job:  map 100% reduce 83%
16/03/18 10:06:18 INFO mapreduce.Job:  map 100% reduce 84%
16/03/18 10:06:52 INFO mapreduce.Job:  map 100% reduce 85%
16/03/18 10:07:26 INFO mapreduce.Job:  map 100% reduce 86%
16/03/18 10:08:03 INFO mapreduce.Job:  map 100% reduce 87%
16/03/18 10:08:42 INFO mapreduce.Job:  map 100% reduce 88%
16/03/18 10:09:21 INFO mapreduce.Job:  map 100% reduce 89%
16/03/18 10:10:00 INFO mapreduce.Job:  map 100% reduce 90%
16/03/18 10:10:41 INFO mapreduce.Job:  map 100% reduce 91%
16/03/18 10:11:20 INFO mapreduce.Job:  map 100% reduce 92%
16/03/18 10:12:03 INFO mapreduce.Job:  map 100% reduce 93%
16/03/18 10:12:47 INFO mapreduce.Job:  map 100% reduce 94%
16/03/18 10:13:44 INFO mapreduce.Job:  map 100% reduce 95%
16/03/18 10:14:50 INFO mapreduce.Job:  map 100% reduce 96%
16/03/18 10:16:02 INFO mapreduce.Job:  map 100% reduce 97%
16/03/18 10:17:21 INFO mapreduce.Job:  map 100% reduce 98%
16/03/18 10:19:02 INFO mapreduce.Job:  map 100% reduce 99%
16/03/18 10:24:06 INFO mapreduce.Job:  map 100% reduce 100%
16/03/18 10:27:45 INFO mapreduce.Job: Job job_1458275717251_0004 completed successfully
16/03/18 10:27:45 INFO mapreduce.Job: Counters: 52
        File System Counters
                FILE: Number of bytes read=2524079194356
                FILE: Number of bytes written=3544026993628
                FILE: Number of read operations=0
                FILE: Number of large read operations=0
                FILE: Number of write operations=0
                HDFS: Number of bytes read=1000059283511
                HDFS: Number of bytes written=1000000000000
                HDFS: Number of read operations=37351
                HDFS: Number of large read operations=0
                HDFS: Number of write operations=64
        Job Counters
                Killed map tasks=1
                Killed reduce tasks=1
                Launched map tasks=7452
                Launched reduce tasks=33
                Data-local map tasks=7297
                Rack-local map tasks=155
                Total time spent by all maps in occupied slots (ms)=703415784
                Total time spent by all reduces in occupied slots (ms)=724156152
                Total time spent by all map tasks (ms)=234471928
                Total time spent by all reduce tasks (ms)=120692692
                Total vcore-milliseconds taken by all map tasks=234471928
                Total vcore-milliseconds taken by all reduce tasks=120692692
                Total megabyte-milliseconds taken by all map tasks=720297762816
                Total megabyte-milliseconds taken by all reduce tasks=741535899648
        Map-Reduce Framework
                Map input records=10000000000
                Map output records=10000000000
                Map output bytes=1000000000000
                Map output materialized bytes=1020001430592
                Input split bytes=1095297
                Combine input records=0
                Combine output records=0
                Reduce input groups=10000000000
                Reduce shuffle bytes=1020001430592
                Reduce input records=10000000000
                Reduce output records=10000000000
                Spilled Records=34736573500
                Shuffled Maps =238432
                Failed Shuffles=0
                Merged Map outputs=238432
                GC time elapsed (ms)=2261484
                CPU time spent (ms)=151377910
                Physical memory (bytes) snapshot=2941237522432
                Virtual memory (bytes) snapshot=22555424358400
                Total committed heap usage (bytes)=3990696755200
        Shuffle Errors
                BAD_ID=0
                CONNECTION=0
                IO_ERROR=0
                WRONG_LENGTH=0
                WRONG_MAP=0
                WRONG_REDUCE=0
        File Input Format Counters
                Bytes Read=1000030515200
        File Output Format Counters
                Bytes Written=1000000000000
